algoritmo,tamanho,repeticao,tempo_s
buscaBinariaIterativa,500000,49,0.000000050
buscaBinariaIterativa,500000,50,0.000000050
buscaBinariaIterativa,500000,51,0.000000050
buscaBinariaIterativa,500000,52,0.000000060
buscaBinariaIterativa,500000,53,0.000000061
buscaBinariaIterativa,500000,54,0.000000060
buscaBinariaIterativa,500000,55,0.000000050
buscaBinariaIterativa,500000,56,0.000000050
buscaBinariaIterativa,500000,57,0.000000050
buscaBinariaIterativa,500000,58,0.000000050
buscaBinariaIterativa,500000,59,0.000000050
buscaBinariaIterativa,500000,60,0.000000060
buscaBinariaIterativa,500000,61,0.000000061
buscaBinariaIterativa,500000,62,0.000000060
buscaBinariaIterativa,500000,63,0.000000060
buscaBinariaIterativa,500000,64,0.000000060
buscaBinariaIterativa,500000,65,0.000000060
buscaBinariaIterativa,500000,66,0.000000060
buscaBinariaIterativa,500000,67,0.000000050
buscaBinariaIterativa,500000,68,0.000000050
buscaBinariaIterativa,500000,69,0.000000060
buscaBinariaIterativa,500000,70,0.000000060
buscaBinariaIterativa,500000,71,0.000000060
buscaBinariaIterativa,500000,72,0.000000050
buscaBinariaIterativa,500000,73,0.000000050
buscaBinariaIterativa,500000,74,0.000000050
buscaBinariaIterativa,500000,75,0.000000050
buscaBinariaIterativa,500000,76,0.000000050
buscaBinariaIterativa,500000,77,0.000000050
buscaBinariaIterativa,500000,78,0.000000050
buscaBinariaIterativa,500000,79,0.000000050
buscaBinariaIterativa,500000,80,0.000000050
buscaBinariaIterativa,500000,81,0.000000070
buscaBinariaIterativa,500000,82,0.000000050
buscaBinariaIterativa,500000,83,0.000000060
buscaBinariaIterativa,500000,84,0.000000060
buscaBinariaIterativa,500000,85,0.000000050
buscaBinariaIterativa,500000,86,0.000000060
buscaBinariaIterativa,500000,87,0.000000060
buscaBinariaIterativa,500000,88,0.000000061
buscaBinariaIterativa,500000,89,0.000000050
buscaBinariaIterativa,500000,90,0.000000050
buscaBinariaIterativa,500000,91,0.000000060
buscaBinariaIterativa,500000,92,0.000000060
buscaBinariaIterativa,500000,93,0.000000060
buscaBinariaIterativa,500000,94,0.000000060
buscaBinariaIterativa,500000,95,0.000000050
buscaBinariaIterativa,500000,96,0.000000060
buscaBinariaIterativa,500000,97,0.000000050
buscaBinariaIterativa,500000,98,0.000000060
buscaBinariaIterativa,500000,99,0.000000050
buscaBinariaIterativa,500000,100,0.000000060
buscaBinariaIterativa,1000000,1,0.000000080
buscaBinariaIterativa,1000000,2,0.000000060
buscaBinariaIterativa,1000000,3,0.000000060
buscaBinariaIterativa,1000000,4,0.000000050
buscaBinariaIterativa,1000000,5,0.000000060
buscaBinariaIterativa,1000000,6,0.000000060
buscaBinariaIterativa,1000000,7,0.000000060
buscaBinariaIterativa,1000000,8,0.000000060
buscaBinariaIterativa,1000000,9,0.000000060
